"100 Mph","#c93f38","100 mph"
"Festival Fuchsia","#aa2f78","festival fuchsia"
"Festival Green","#6ea43c","festival green"
"Festival Orange","#de5e3f","festival orange"
"Festival","#eacc4a","festival"
"Festive Bordeaux","#6e0f12","festive bordeaux"
"Festive Fennec","#ff5566","festive fennec"
"Festive Ferret","#dfdfe5","festive ferret"
"Festive Green","#008c6c","festive green"
"Festoon Aqua","#a0bbb8","festoon aqua"
"Feta","#dbe0d0","feta"
"Fetched Stick","#86725f","fetched stick"
"Fever Dream","#dd5577","fever dream"
"Fever","#ea4c4c","fever"
"Feverish Passion","#de4d7b","feverish passion"
"Feverish Pink","#cb3e50","feverish pink"
"Feverish","#dd6677","feverish"
"Fibonacci Blue","#112358","fibonacci blue"
"Fibre Moss","#bec0af","fibre moss"
"Ficus Elastica","#006131","ficus elastica"
"Ficus","#3b593a","ficus"
"Fiddle-Leaf Fig","#a6c875","fiddle-leaf fig"
"Fiddlehead Fern","#c8c387","fiddlehead fern"
"Fiddler","#5a9589","fiddler"
"Fiddlesticks","#bb9fb1","fiddlesticks"
"Field Blue","#4477aa","field blue"
"Field Day","#c5e6a4","field day"
"Field Drab","#6c541e","field drab"
"Field Frost","#cee9e8","field frost"
"Field Green","#60b922","field green"
"Field Khaki","#b1a891","field khaki"
"Field Maple","#80884e","field maple"
"Field Poppy","#d86f3c","field poppy"
"Field of Wheat","#deb699","field of wheat"
"Fieldstone","#807e77","fieldstone"
"Fierce Mantis","#7fc15c","fierce mantis"
"Fierce Red","#cc0021","fierce red"
"Fiery Brown","#5d3831","fiery brown"
"Fiery Coral","#e26058","fiery coral"
"Fiery Flamingo","#f96d7b","fiery flamingo"
"Fiery Fuchsia","#b7386e","fiery fuchsia"
"Fiery Garnet","#b71e1e","fiery garnet"
"Fiery Glow","#f0531c","fiery glow"
"Fiery Orange","#b1592f","fiery orange"
"Fiery Red","#dd1e2e","fiery red"
"Fiery Rose","#ff5470","fiery rose"
"Fiery Salmon","#f76564","fiery salmon"
"Fiery Topaz","#b74537","fiery topaz"
"Fiesta Blue","#6fc0b1","fiesta blue"
"Fiesta Pink","#d47194","fiesta pink"
"Fiesta Rojo","#b67c80","fiesta rojo"
"Fiesta","#edd8d2","fiesta"
"Fife","#a9a5c2","fife"
"Fifth Olive-Nue","#8e8779","fifth olive-nue"
"Fiftieth Shade of Grey","#505050","fiftieth shade of grey"
"Fig Balsamic","#550022","fig balsamic"
"Fig Branches","#7a634d","fig branches"
"Fig Cluster","#784a65","fig cluster"
"Fig Fruit Mauve","#a98691","fig fruit mauve"
"Fig Leaf","#556b2f","fig leaf"
"Fig Mustard Yellow","#bb8610","fig mustard yellow"
"Fig Preserves","#a7989e","fig preserves"
"Fig Tree","#605f4b","fig tree"
"Fig","#5a3140","fig"
"Fight the Sunrise","#ff99aa","fight the sunrise"
"Figue Pulp","#962c54","figue pulp"
"Figue","#9469a2","figue"
"Figure Stone","#eedac3","figure stone"
"Figurine","#e4d5c0","figurine"
"Fiji Coral","#6b5f68","fiji coral"
"Fiji Green","#636f22","fiji green"
"Fiji Palm","#528d3c","fiji palm"
"Fiji Sands","#d8caa9","fiji sands"
"Fiji","#00aaac","fiji"
"Filigree Green","#a5af89","filigree green"
"Filigree","#dfe7e8","filigree"
"Film Fest","#93877c","film fest"
"Film Noir","#473933","film noir"
"Filmy Green","#d1d3c7","filmy green"
"Filtered Forest","#b7e1d2","filtered forest"
"Filtered Light","#b1b2c4","filtered light"
"Filtered Moon","#ecca9a","filtered moon"
"Filtered Rays","#d0b064","filtered rays"
"Filthy Brown","#e8aa08","filthy brown"
"Final Departure","#f1f5db","final departure"
"Final Straw","#d0bf9e","final straw"
"Finch","#75785a","finch"
"Fine Alabaster","#ecd3cb","fine alabaster"
"Fine Blue","#b6e1e1","fine blue"
"Fine Burgundy","#815158","fine burgundy"
"Fine Gold","#daa826","fine gold"
"Fine Grain","#d8cfc1","fine grain"
"Fine Greige","#b5a998","fine greige"
"Fine Linen","#faf5c3","fine linen"
"Fine Pine","#008800","fine pine"
"Fine Porcelain","#faf0e1","fine porcelain"
"Fine Purple","#5e548d","fine purple"
"Fine Sand","#f1d5ae","fine sand"
"Fine Tuned Blue","#84989e","fine tuned blue"
"Fine White Sand","#e4d4c0","fine white sand"
"Fine White","#faede1","fine white"
"Fine Wine","#744e5b","fine wine"
"Finesse","#96a8c8","finesse"
"Finest Blush","#dd8888","finest blush"
"Finest Silk","#f1e5d7","finest silk"
"Finger Banana","#e1c12f","finger banana"
"Fingerpaint","#8a7e61","fingerpaint"
"Fingerprint","#555356","fingerprint"
"Finishing Touch","#cbbfb3","finishing touch"
"Finlandia","#61755b","finlandia"
"Finn","#694554","finn"
"Finnegan","#425357","finnegan"
"Finnish Fiord","#5db0be","finnish fiord"
"Fioletowy Beige","#fffce3","fioletowy beige"
"Fioletowy Purple","#fc44a3","fioletowy purple"
"Fiord","#4b5a62","fiord"
"Fiorito","#bfbfaf","fiorito"
"Fir Blue","#46807b","fir blue"
"Fir Green","#67592a","fir green"
"Fir Spruce Green","#6d7969","fir spruce green"
"Fir","#3d7965","fir"
"Fire Ant","#be6400","fire ant"
"Fire Axe Red","#ce1620","fire axe red"
"Fire Bolt","#cc4411","fire bolt"
"Fire Bush","#e09842","fire bush"
"Fire Chalk","#d2806c","fire chalk"
"Fire Chi","#92353a","fire chi"
"Fire Coral","#e3b46f","fire coral"
"Fire Dance","#e3d590","fire dance"
"Fire Dragon Bright","#f97306","fire dragon bright"
"Fire Dust","#b98d68","fire dust"
"Fire Engine","#fe0002","fire engine"
"Fire Flower","#f68f37","fire flower"
"Fire Hydrant","#ff0d00","fire hydrant"
"Fire Island","#d95137","fire island"
"Fire Lord","#bb7733","fire lord"
"Fire Mist","#fbd9c4","fire mist"
"Fire Opal","#fd3c06","fire opal"
"Fire Orange","#ff8e57","fire orange"
"Fire Roasted","#79483e","fire roasted"
"Fire Yellow","#ffb70b","fire yellow"
"Fire","#8f3f2a","fire"
"Fireball","#ce2029","fireball"
"Firebird Tail Lights","#dd5522","firebird tail lights"
"Firebrick","#b22222","firebrick"
"Firebug","#cd5c51","firebug"
"Firecracker Salmon","#f36363","firecracker salmon"
"Firecracker","#f2643a","firecracker"
"Fired Brick","#793030","fired brick"
"Fired Clay","#884444","fired clay"
"Fired Up","#d37a38","fired up"
"Fireflies","#f6daa7","fireflies"
"Firefly Glow","#fff3a1","firefly glow"
"Firefly","#314643","firefly"
"Fireglow","#d65e40","fireglow"
"Firelight","#f9d97b","firelight"
"Firenze","#bc7256","firenze"
"Fireplace Glow","#d08b73","fireplace glow"
"Fireplace Kitten","#c5c9c7","fireplace kitten"
"Fireplace Mantel","#847c70","fireplace mantel"
"Fireside","#6e4a44","fireside"
"Firewatch","#ee8866","firewatch"
"Fireweed","#b38491","fireweed"
"Fireworks","#44363d","fireworks"
"Firm Green","#47654a","firm green"
"Firm Pink","#da93c1","firm pink"
"Firmament Blue","#11353f","firmament blue"
"First Blush","#f4edec","first blush"
"First Colors of Spring","#dbe64c","first colors of spring"
"First Crush","#f6e2ea","first crush"
"First Date","#f5b1a2","first date"
"First Daughter","#f7d2d8","first daughter"
"First Day of School","#fadba0","first day of school"
"First Day of Summer","#f1e798","first day of summer"
"First Frost","#cfe5f0","first frost"
"First Impression","#f4e5e7","first impression"
"First Lady","#c47967","first lady"
"First Landing","#59a6cf","first landing"
"First Light","#d9e6ee","first light"
"First Lilac","#e7d6ed","first lilac"
"First Love","#cf758a","first love"
"First Peach","#f4cac6","first peach"
"First Plum","#b87592","first plum"
"First Post","#2fbda1","first post"
"First Rain","#bdd8ec","first rain"
"First Shade of Blue","#cbe1f2","first shade of blue"
"First Snow","#e8eff8","first snow"
"First Star","#dad9d4","first star"
"First Timer Green","#00e8d8","first timer green"
"First Tulip","#ffe79c","first tulip"
"First Waltz","#d5bcb2","first waltz"
"First of July","#bce6ef","first of july"
"Fischer Blue","#32a0b1","fischer blue"
"Fish Bone","#e4d9c5","fish bone"
"Fish Boy","#11dddd","fish boy"
"Fish Camp Woods","#7a9682","fish camp woods"
"Fish Ceviche","#e1e1d5","fish ceviche"
"Fish Finger","#eecc55","fish finger"
"Fish Net Blue","#1e446e","fish net blue"
"Fish Pond","#86c8ed","fish pond"
"Fisher King","#5182b9","fisher king"
"Fisherman Knit","#d1c9be","fisherman knit"
"Fishy House","#1ba590","fishy house"
"Fist of the North Star","#225599","fist of the north star"
"Fistfull of Green","#a2a415","fistfull of green"
"Fitness Blue","#5bb9d2","fitness blue"
"Fitzgerald Smoke","#b3b6b0","fitzgerald smoke"
"Five Star","#ffaa4a","five star"
"Fizz","#b1dbaa","fizz"
"Fizzing Whizbees","#ddbcbc","fizzing whizbees"
"Fizzle","#d8e4de","fizzle"
"Fizzy Peach","#f7bc5c","fizzy peach"
"Fjord Blue","#007290","fjord blue"
"Fjord Green","#005043","fjord green"
"Fjord","#616242","fjord"
"Flag Green","#717c00","flag green"
"Flagstaff Green","#b3bfb0","flagstaff green"
"Flagstone Quartzite","#9a9e88","flagstone quartzite"
"Flagstone","#acadad","flagstone"
"Flamboyant Flamingo","#f74480","flamboyant flamingo"
"Flamboyant Plum","#694e52","flamboyant plum"
"Flamboyant Teal","#129c8b","flamboyant teal"
"Flamboyant","#f73d37","flamboyant"
"Flambrosia","#e7a500","flambrosia"
"Flame Angelfish","#fd4c29","flame angelfish"
"Flame Hawkfish","#960018","flame hawkfish"
"Flame Orange","#fb8b23","flame orange"
"Flame Pea","#be5c48","flame pea"
"Flame Red","#86282e","flame red"
"Flame Scarlet","#d62235","flame scarlet"
"Flame Seal","#f4e25a","flame seal"
"Flame Stitch","#d65d45","flame stitch"
"Flame Yellow","#ffcf49","flame yellow"
"Flame of Prometheus","#db3c02","flame of prometheus"
"Flame","#e25822","flame"
"Flamenco","#ea8645","flamenco"
"Flaming Cauldron","#f6a374","flaming cauldron"
"Flaming Cherry","#d4202a","flaming cherry"
"Flaming Flamingo","#dd55ff","flaming flamingo"
"Flaming Hot Flamingoes","#ff005d","flaming hot flamingoes"
"Flaming June","#eebb66","flaming june"
"Flaming Orange","#ee6633","flaming orange"
"Flaming Torch","#d2864e","flaming torch"
"Flamingo Diva","#ff44dd","flamingo diva"
"Flamingo Dream","#ee888b","flamingo dream"
"Flamingo Feather","#f8bdd9","flamingo feather"
"Flamingo Fervor","#b42121","flamingo fervor"
"Flamingo Fury","#df01f0","flamingo fury"
"Flamingo Peach","#f6e2d8","flamingo peach"
"Flamingo Pink","#fc8eac","flamingo pink"
"Flamingo Queen","#cc33ff","flamingo queen"
"Flamingo Red","#ef8e87","flamingo red"
"Flamingo","#e1634f","flamingo"
"Flan","#f6e3b4","flan"
"Flannel Grey","#aeadac","flannel grey"
"Flannel Pajamas","#8b8d98","flannel pajamas"
"Flannel","#9e917c","flannel"
"Flapper Dance","#495762","flapper dance"
"Flare Gun","#ff4519","flare gun"
"Flare","#fcaf52","flare"
"Flash Gitz Yellow","#fffb05","flash gitz yellow"
"Flash in the Pan","#ff9977","flash in the pan"
"Flash of Orange","#ffaa00","flash of orange"
"Flashlight","#f9eed6","flashlight"
"Flashman","#7cbd85","flashman"
"Flashpoint","#f9f2d1","flashpoint"
"Flashy Sapphire","#2c538a","flashy sapphire"
"Flat Aluminum","#c3c6cd","flat aluminum"
"Flat Beige","#f7d48f","flat beige"
"Flat Blue","#3c73a8","flat blue"
"Flat Brown","#754600","flat brown"
"Flat Earth","#aa5533","flat earth"
"Flat Green","#699d4c","flat green"
"Flat Yellow","#fff005","flat yellow"
"Flattered Flamingo","#ee6655","flattered flamingo"
"Flattering Peach","#f4d3b3","flattering peach"
"Flattery","#6b4424","flattery"
"Flatty Yellow","#fce300","flatty yellow"
"Flavescent","#f7e98e","flavescent"
"Flavoparmelia Caperata","#8fb67b","flavoparmelia caperata"
"Flawed White","#fffbfc","flawed white"
"Flax Beige","#d4c3b3","flax beige"
"Flax Bloom","#d2d8f4","flax bloom"
"Flax Fiber","#e0d68e","flax fiber"
"Flax Fibre Grey","#b7a99a","flax fibre grey"
"Flax Flower Blue","#4499dd","flax flower blue"
"Flax Flower","#5577aa","flax flower"
"Flax Smoke","#7b8265","flax smoke"
"Flax Straw","#cbaa7d","flax straw"
"Flax","#eedc82","flax"
"Flax-Flower Blue","#6f88af","flax-flower blue"
"Flaxen Fair","#e3ddbd","flaxen fair"
"Flaxen Field","#bba684","flaxen field"
"Flaxen","#fbecc9","flaxen"
"Flaxseed","#f7e6c6","flaxseed"
"Flayed One","#fcfcde","flayed one"
"Fleck","#97bbe1","fleck"
"Fleeting Green","#d8e2d8","fleeting green"
"Flemish Blue","#add0e0","flemish blue"
"Flesh Fly","#894585","flesh fly"
"Fleur de Sel Caramel","#da8704","fleur de sel caramel"
"Fleur de Sel","#dcddd8","fleur de sel"
"Fleur-De-Lis","#b090c7","fleur-de-lis"
"Flexible Grey","#b1a3a1","flexible grey"
"Flickering Firefly","#f8f6e6","flickering firefly"
"Flickering Flame","#aa6e49","flickering flame"
"Flickering Gold","#c6a668","flickering gold"
"Flickering Light","#fff1dc","flickering light"
"Flickering Sea","#5566ee","flickering sea"
"Flickery C64","#4f81ff","flickery c64"
"Flickery CRT Green","#90f215","flickery crt green"
"Flickr Blue","#216bd6","flickr blue"
"Flickr Pink","#fb0081","flickr pink"
"Flier Lie","#cdb891","flier lie"
"Flight Time","#a3b8ce","flight time"
"Flight of Fancy","#91786b","flight of fancy"
"Flinders Green","#6d7058","flinders green"
"Fling Green","#8ecfd0","fling green"
"Flint Corn Red","#d9623b","flint corn red"
"Flint Grey","#a09c98","flint grey"
"Flint Purple","#42424d","flint purple"
"Flint Rock","#989493","flint rock"
"Flint Shard","#8f9395","flint shard"
"Flint Smoke","#a8b2b1","flint smoke"
"Flint","#716e61","flint"
"Flintstone Blue","#434252","flintstone blue"
"Flintstone","#677283","flintstone"
"Flip a Coin","#ccddcc","flip a coin"
"Flip","#45747e","flip"
"Flip-Flop","#f2c4a7","flip-flop"
"Flipper","#7f726b","flipper"
"Flirt Alert","#be3c37","flirt alert"
"Flirt","#7a2e4d","flirt"
"Flirtatious Flamingo","#cc22ff","flirtatious flamingo"
"Flirtatious Indigo Tea","#473f2d","flirtatious indigo tea"
"Flirtatious","#ffd637","flirtatious"
"Flirty Pink","#9e88b1","flirty pink"
"Flirty Rose","#d65e93","flirty rose"
"Flirty Salmon","#fa7069","flirty salmon"
"Floating Blue","#b0c9cd","floating blue"
"Floating Feather","#e9d8c2","floating feather"
"Floating Island","#ece5cf","floating island"
"Floating Lily Pad","#ccc7a1","floating lily pad"
"Floating Lily","#edebce","floating lily"
"Flood Mud","#877966","flood mud"
"Flood Out","#579dab","flood out"
"Flood","#6677bb","flood"
"Floppy Disk","#110044","floppy disk"
"Flor Lila","#e0e0eb","flor lila"
"Flora Green","#91ad8a","flora green"
"Flora","#73fa79","flora"
"Floral Arrangement","#c6ac9f","floral arrangement"
"Floral Bluff","#e7cfb9","floral bluff"
"Floral Bouquet","#bacb7c","floral bouquet"
"Floral Leaf","#ffb94e","floral leaf"
"Floral Linen","#f5e2de","floral linen"
"Floral Note","#cdcfdb","floral note"
"Floral Scent","#eeede9","floral scent"
"Floral Tapestry","#c39191","floral tapestry"
"Floral White","#fffaf0","floral white"
"Florence Brown","#835740","florence brown"
"Florence Red","#753f38","florence red"
"Florence","#96b576","florence"
"Florentine Brown","#7a5544","florentine brown"
"Florentine Clay","#c1937a","florentine clay"
"Florentine Lapis","#1c5798","florentine lapis"
"Florida Grey","#bea4a2","florida grey"
"Florida Keys","#56beab","florida keys"
"Florida Mango","#ed9f6c","florida mango"
"Florida Sunrise","#f7aa6f","florida sunrise"
"Florida Turquoise","#6bb8b1","florida turquoise"
"Florida Waters","#2a4983","florida waters"
"Florida’s Alligator","#664422","florida’s alligator"
"Floriography","#a54049","floriography"
"Floss","#d7b3b9","floss"
"Flotation","#7bb0ba","flotation"
"Flounce","#4a8791","flounce"
"Flour Sack","#b9b297","flour sack"
"Flourish","#ebdc9c","flourish"
"Flower Blossom Pink","#f27987","flower blossom pink"
"Flower Bulb","#d9e8c9","flower bulb"
"Flower Centre","#fde6c6","flower centre"
"Flower Field","#d9a96f","flower field"
"Flower Girl Dress","#ede7e6","flower girl dress"
"Flower Girl","#f498ad","flower girl"
"Flower Hat Jellyfish","#f9d593","flower hat jellyfish"
"Flower Pot","#8f4438","flower pot"
"Flower Spell","#ffc9d7","flower spell"
"Flower Stem","#b5d5b0","flower stem"
"Flower Wood","#988378","flower wood"
"Flower of Oahu","#f5dfc5","flower of oahu"
"Flowerbed","#ffebda","flowerbed"
"Flowerhorn Cichlid Red","#f62e52","flowerhorn cichlid red"
"Flowering Cactus","#a2d4bd","flowering cactus"
"Flowering Chestnut","#875657","flowering chestnut"
"Flowering Raspberry","#a16c94","flowering raspberry"
"Flowering Reed","#e1d8b8","flowering reed"
"Flowerpot","#d8b0a0","flowerpot"
"Flowers of May","#e3d7e3","flowers of may"
"Flowery","#e4dcbf","flowery"
"Flowey Yellow","#fff953","flowey yellow"
"Flowing Breeze","#b9c6cb","flowing breeze"
"Flowing River","#335e6f","flowing river"
"Fluffy Duckling","#fcdf39","fluffy duckling"
"Fluffy Pink","#f7d6cb","fluffy pink"
"Fluid Blue","#c5d6eb","fluid blue"
"Fluor Spar","#a77d35","fluor spar"
"Fluorescence","#89d178","fluorescence"
"Fluorescent Fire","#984427","fluorescent fire"
"Fluorescent Green","#08ff08","fluorescent green"
"Fluorescent Lime","#bdc233","fluorescent lime"
"Fluorescent Orange","#ffcf00","fluorescent orange"
"Fluorescent Pink","#fe1493","fluorescent pink"
"Fluorescent Red Orange","#fc8427","fluorescent red orange"
"Fluorescent Red","#ff5555","fluorescent red"
"Fluorescent Turquoise","#00fdff","fluorescent turquoise"
"Fluorescent Yellow","#ccff02","fluorescent yellow"
"Fluorite Blue","#b4ccc2","fluorite blue"
"Fluorite Green","#699158","fluorite green"
"Fluro Green","#0aff02","fluro green"
"Flurries","#f2ede3","flurries"
"Flush Mahogany","#ca2425","flush mahogany"
"Flush Orange","#ff6f01","flush orange"
"Flush Pink","#f8cbc4","flush pink"
"Flushed","#dd5555","flushed"
"Fly Agaric","#ff2052","fly agaric"
"Fly Away","#85b3f3","fly away"
"Fly a Kite","#c8daf5","fly a kite"
"Fly by Night","#1c1e4d","fly by night"
"Fly the Green","#218d4b","fly the green"
"Fly-by-Night","#495a67","fly-by-night"
"Flying Carpet","#787489","flying carpet"
"Flying Fish Blue","#024aca","flying fish blue"
"Flying Fish","#5376ab","flying fish"
"Flyway","#5db3d4","flyway"
"Foam Green","#90fda9","foam green"
"Foam","#d0eae8","foam"
"Foaming Surf","#90d1dd","foaming surf"
"Foamy Lime","#dce2be","foamy lime"
"Foamy Milk","#f7f4f7","foamy milk"
"Foamy Surf","#b3d4df","foamy surf"
"Focus Point","#91c3bd","focus point"
"Focus on Light","#fef9d3","focus on light"
"Focus","#e5e0d2","focus"
"Fog Beacon","#d8d6d1","fog beacon"
"Fog Green","#c2cbb4","fog green"
"Fog Syringa","#c4bad2","fog syringa"
"Fog White","#f1efe4","fog white"
"Fog of War","#112233","fog of war"
"Fog","#d6d7d2","fog"
"Foggy Amethyst","#57317e","foggy amethyst"
"Foggy Blue","#99aebb","foggy blue"
"Foggy Bog","#7f8e1d","foggy bog"
"Foggy Day","#e7e3db","foggy day"
"Foggy Dew","#d1d5d0","foggy dew"
"Foggy Grey","#a7a69d","foggy grey"
"Foggy Heath","#e2c9ff","foggy heath"
"Foggy London","#5c5658","foggy london"
"Foggy Love","#d5c7e8","foggy love"
"Foggy Mist","#c8d1cc","foggy mist"
"Foggy Morn","#cad0ce","foggy morn"
"Foggy Night","#40494e","foggy night"
"Foggy Pith","#fbf6ef","foggy pith"
"Foggy Plateau","#cfcbe5","foggy plateau"
"Foggy Quartz","#bfa2a1","foggy quartz"
"Foggy Sunrise","#a79c8e","foggy sunrise"
"Foghorn","#909fb2","foghorn"
"Fogtown","#eef0e7","fogtown"
"Foil","#c0c3c4","foil"
"Foille","#b0b99c","foille"
"Foliage Green","#3e6f58","foliage green"
"Foliage","#95b388","foliage"
"Folk Guitar","#7a634f","folk guitar"
"Folk Song","#65a19f","folk song"
"Folk Tale","#b2e1bc","folk tale"
"Folk Tales","#a5c1b6","folk tales"
"Folklore","#684141","folklore"
"Folkstone Grey","#626879","folkstone grey"
"Folkstone","#6d6562","folkstone"
"Folksy Gold","#d69969","folksy gold"
"Follow the Leader","#f7e5d0","follow the leader"
"Folly","#fd004d","folly"
"Fond Memory","#c8bcb7","fond memory"
"Fondant","#f4e2cf","fondant"
"Fondue Fudge","#6d4b3f","fondue fudge"
"Fondue","#fdf5c4","fondue"
"Fool’s Gold","#cad175","fool’s gold"
"Football Field","#7eaf34","football field"
"Football","#825736","football"
"Foothill Drive","#cab48e","foothill drive"
"Foothills","#e1cfa5","foothills"
"Footie Pajamas","#e6cee6","footie pajamas"
"For the Love of Hue","#457e87","for the love of hue"
"Forbidden Blackberry","#323f75","forbidden blackberry"
"Forbidden Forest","#215354","forbidden forest"
"Forbidden Fruit","#fe7b7c","forbidden fruit"
"Forbidden Peanut","#a38052","forbidden peanut"
"Forbidden Red","#8a4646","forbidden red"
"Forbidden Thrill","#856363","forbidden thrill"
"Force of Nature","#d5ce69","force of nature"
"Forceful Orange","#f29312","forceful orange"
"Foresight","#94a8d3","foresight"
"Forest Berry","#956378","forest berry"
"Forest Biome","#1d5952","forest biome"
"Forest Blues","#0d4462","forest blues"
"Forest Bound","#738f50","forest bound"
"Forest Canopy","#969582","forest canopy"
"Forest Edge","#627b72","forest edge"
"Forest Empress","#3d7016","forest empress"
"Forest Fern","#63b76c","forest fern"
"Forest Floor Khaki","#78766d","forest floor khaki"
"Forest Floor","#555142","forest floor"
"Forest Found","#e1dfbb","forest found"
"Forest Frolic","#88bb95","forest frolic"
"Forest Fruit Pink","#68393b","forest fruit pink"
"Forest Fruit Red","#6e2759","forest fruit red"
"Forest Green","#154406","forest green"
"Forest Greenery","#3e645b","forest greenery"
"Forest Lichen","#9aa22b","forest lichen"
"Forest Maid","#52b963","forest maid"
"Forest Moss","#858f83","forest moss"
"Forest Night","#434237","forest night"
"Forest Path","#708d6c","forest path"
"Forest Rain","#216957","forest rain"
"Forest Ride","#006800","forest ride"
"Forest Ridge","#555d46","forest ridge"
"Forest Sand","#c8caa4","forest sand"
"Forest Serenade","#336644","forest serenade"
"Forest Shade","#91ac80","forest shade"
"Forest Spirit","#667028","forest spirit"
"Forest Splendor","#016e61","forest splendor"
"Forest Tapestry","#a4ba8a","forest tapestry"
"Forest Tent","#bba748","forest tent"
"Forest","#0b5509","forest"
"Forester","#9aa77c","forester"
"Forestial Outpost","#556611","forestial outpost"
"Forestial","#007733","forestial"
"Forestry","#2f441f","forestry"
"Forestwood","#4d5346","forestwood"
"Forever Blue","#899bb8","forever blue"
"Forever Denim","#778590","forever denim"
"Forever Fairytale","#d2bbb2","forever fairytale"
"Forever Faithful","#efe6e1","forever faithful"
"Forever Green","#aab4a7","forever green"
"Forever Lilac","#afa5c7","forever lilac"
"Forged Iron","#555257","forged iron"
"Forged Steel","#5b5b59","forged steel"
"Forget-Me-Not Blue","#358094","forget-me-not blue"
"Forget-Me-Not","#0087bd","forget-me-not"
"Forgive Quickly","#e1e1be","forgive quickly"
"Forgiven Sin","#ff1199","forgiven sin"
"Forgotten Blue","#c0e5ec","forgotten blue"
"Forgotten Gold","#c7b89f","forgotten gold"
"Forgotten Mosque","#e2d9db","forgotten mosque"
"Forgotten Pink","#ffd9d6","forgotten pink"
"Forgotten Purple","#9878f8","forgotten purple"
"Forgotten Sandstone","#afa696","forgotten sandstone"
"Forgotten Sunset","#fdd5b1","forgotten sunset"
"Formal Affair","#848391","formal affair"
"Formal Garden","#3a984d","formal garden"
"Formal Grey","#97969a","formal grey"
"Formal Maroon","#70474b","formal maroon"
"Formosan Green","#a69a51","formosan green"
"Forrester","#4e5b52","forrester"
"Forsythia Blossom","#f6d76e","forsythia blossom"
"Forsythia Bud","#bbcc55","forsythia bud"
"Forsythia","#ffc801","forsythia"
"Fortitude","#c6c5c1","fortitude"
"Fortress Grey","#b8b8b8","fortress grey"
"Fortress","#bea58e","fortress"
"Fortune Cookie","#e0c5a1","fortune cookie"
"Fortune Red","#b0534d","fortune red"
"Fortune","#9f97a3","fortune"
"Fortune’s Prize","#daa994","fortune’s prize"
"Forward Fuchsia","#92345b","forward fuchsia"
"Fossil Butte","#a78f65","fossil butte"
"Fossil Green","#6c6a43","fossil green"
"Fossil Sand","#d2c8bb","fossil sand"
"Fossil Stone","#e3ddcc","fossil stone"
"Fossil Tan","#d1af90","fossil tan"
"Fossil","#867367","fossil"
"Fossilized Leaf","#756a43","fossilized leaf"
"Fossilized","#b6b8b0","fossilized"
"Foul Green","#85c7a1","foul green"
"Foundation White","#efeeff","foundation white"
"Foundation","#f8e8c5","foundation"
"Fountain Blue","#65adb2","fountain blue"
"Fountain City","#9cd4cf","fountain city"
"Fountain Frolic","#e4e4c5","fountain frolic"
"Fountain Spout","#cdebec","fountain spout"
"Fountain","#56b5ca","fountain"
"Fountains of Budapest","#b9def0","fountains of budapest"
"Four Leaf Clover","#738f5d","four leaf clover"
"Fox Hill","#c8aa92","fox hill"
"Fox Tails","#dd8800","fox tails"
"Fox","#ca4e33","fox"
"Foxen","#bf8e7f","foxen"
"Foxfire Brown","#9f6949","foxfire brown"
"Foxflower Viola","#a2acc5","foxflower viola"
"Foxglove","#b57c8c","foxglove"
"Foxgloves","#c6c0ca","foxgloves"
"Foxhall Green","#454b40","foxhall green"
"Foxtail","#bc896e","foxtail"
"Foxy Fuchsia","#9f00c5","foxy fuchsia"
"Foxy Lady","#d5a6ad","foxy lady"
"Foxy Pink","#db95ab","foxy pink"
"Foxy","#a85e53","foxy"
"Fozzie Bear","#70625c","fozzie bear"
"Fragile Beauty","#e7d7c6","fragile beauty"
"Fragile Fern","#eff2db","fragile fern"
"Fragile","#bbb8d0","fragile"
"Fragrant Cherry","#8e545c","fragrant cherry"
"Fragrant Cloves","#ac5e3a","fragrant cloves"
"Fragrant Jasmine","#fbf6e7","fragrant jasmine"
"Fragrant Lilac","#caa7bb","fragrant lilac"
"Fragrant Satchel","#a99fba","fragrant satchel"
"Fragrant Snowbell","#d5c5d4","fragrant snowbell"
"Fragrant Wand","#adb1c1","fragrant wand"
"Frail Fuchsia","#ee88ee","frail fuchsia"
"Framboise","#e40058","framboise"
"Frangipane","#f4d5b2","frangipane"
"Frangipani","#ffd7a0","frangipani"
"Frank Blue","#225288","frank blue"
"Frank Lloyd White","#efebdb","frank lloyd white"
"Frankenstein","#7ba05b","frankenstein"
"Frankly Earnest","#e2dbca","frankly earnest"
"Frappé au Chocolat","#9a6840","frappé au chocolat"
"Frappé","#ceae99","frappé"
"Freckles","#d78775","freckles"
"Free Green","#74a690","free green"
"Free Reign","#d1cdca","free reign"
"Free Speech Aquamarine","#029d74","free speech aquamarine"
"Free Speech Blue","#4156c5","free speech blue"
"Free Speech Green","#09f911","free speech green"
"Free Speech Magenta","#e35bd8","free speech magenta"
"Free Speech Red","#c00000","free speech red"
"Free Spirit","#deeeed","free spirit"
"Freedom Found","#657682","freedom found"
"Freedom","#3b5e68","freedom"
"Freefall","#565266","freefall"
"Freesia Purple","#b3b0d4","freesia purple"
"Freesia","#f3c12c","freesia"
"Freeze Up","#dee9f4","freeze up"
"Freezing Vapor","#d4e9f5","freezing vapor"
"Freezy Breezy","#99eeee","freezy breezy"
"Freezy Wind","#99ffdd","freezy wind"
"Freinacht Black","#232f36","freinacht black"
"French 75","#f9f3d5","french 75"
"French Beige","#a67b50","french beige"
